#
# Output Filename: state_params.out
# Generation Time: 25-November-2013_15:18:01 (UTC)
# File Contents:   State Parameters Table
#
# EPS Version:     v2.5.8
#
# CFG Template:    v3.19
# EDF Template:    v3.12
# ITL Template:    v3.10
# EVF Template:    v3.1
#
# POR Definition:  CRID issue C4
# EVF (ESOC FD):   DDID appendix-H v2.1
#
# Input Timeline:  BC_SO10_FULL_________ITL_GEN_1A.itl
# Input CFG:       eps_mac.cfg
# Input EDF:       bepi.edf
# MDB version:     SISBCETB "ETB (1, 0, 38)"
# Input EVF:       bepi_events_mpo_00012.evf
#

Ref_date: 7-May-2024

Elapsed time             MERTIS          MERTIS   SIMBIOSYS_STC  SIMBIOSYS_HRIC  SIMBIOSYS_VIHI  SIMBIOSYS_VIHI
ddd_hh:mm:ss          MERTIS_DR      MERTIS_PWR      CURRENT_DR  HRIC_DATA_RATE  VIHI_DATA_RATE      VIHI_POWER
---------------------------------------------------------------------------------------------------------------
075_22:03:50                  0               1           40420          161920              82               1
075_22:04:40                  0               1           40420          161920             126               1
075_22:08:20                  0               1           15600          161920             126               1
075_22:10:20                  0               1           15600          161920             102               1
075_22:14:00                  0               1           15600          161920             182               1
075_22:16:00                  0               1           15600          161920             182               1
075_22:19:30                  0               1               0          161920             182               1
075_23:44:00                  0               1           15600          161920             182               1
075_23:46:40                  0               1           15600          161920             182               1
075_23:49:00                  0               1           15600          161920             102               1
075_23:52:50                  0               1           15600          161920             126               1
075_23:54:50                  0               1           40420          161920             126               1
075_23:58:40                  0               1           40420          161920              82               1
075_23:59:40                  0               1           69400          161920              82               1
076_00:03:30                  0               1           69400          161920             102               1
076_00:04:00                  0               1           69400          161920             102               1
076_00:04:10                  0               1          133340          161920             102               1
076_00:21:10                  0               1           69400          161920             102               1
076_00:21:40                  0               1           69400          161920              82               1
076_00:25:30                  0               1           40420          161920              82               1
076_00:26:20                  0               1           40420          161920             126               1
076_00:30:10                  0               1           15600          161920             126               1
076_00:37:50                  0               1           15600          161920             126               1
076_00:41:20                  0               1               0          161920             126               1
076_02:05:50                  0               1           15600          161920             126               1
076_02:08:30                  0               1           15600          161920             126               1
076_02:14:30                  0               1           15600          161920             126               1
076_02:16:30                  0               1           40420          161920             126               1
076_02:20:20                  0               1           40420          161920              82               1
076_02:21:20                  0               1           69400          161920              82               1
076_02:25:10                  0               1           69400          161920             102               1
076_02:25:40                  0               1           69400          161920             102               1
076_02:25:50                  0               1          133340          161920             102               1
076_02:42:50                  0               1           69400          161920             102               1
076_02:43:20                  0               1           69400          161920              82               1
076_02:47:10                  0               1           40420          161920              82               1
076_02:48:10                  0               1           40420          161920             126               1
076_02:51:50                  0               1           15600          161920             126               1
076_02:53:40                  0               1           15600          161920             102               1
076_02:57:20                  0               1           15600          161920             182               1
076_02:59:30                  0               1           15600          161920             182               1
076_03:03:00                  0               1               0          161920             182               1
076_04:27:30                  0               1           15600          161920             182               1
076_04:30:10                  0               1           15600          161920             182               1
076_04:32:20                  0               1           15600          161920             102               1
076_04:36:20                  0               1           15600          161920             126               1
076_04:38:20                  0               1           40420          161920             126               1
076_04:42:10                  0               1           40420          161920              82               1
076_04:43:00                  0               1           69400          161920              82               1
076_04:47:00                  0               1           69400          161920             102               1
076_04:47:30                  0               1          133340          161920             102               1
076_05:04:30                  0               1           69400          161920             102               1
076_05:05:10                  0               1           69400          161920              82               1
076_05:09:00                  0               1           40420          161920              82               1
076_05:09:50                  0               1           40420          161920             126               1
076_05:13:30                  0               1           15600          161920             126               1
076_05:21:10                  0               1           15600          161920             126               1
076_05:24:50                  0               1               0          161920             126               1
076_06:49:20                  0               1           15600          161920             126               1
076_06:52:00                  0               1           15600          161920             126               1
076_06:58:00                  0               1           15600          161920             126               1
076_07:00:00                  0               1           40420          161920             126               1
076_07:03:50                  0               1           40420          161920              82               1
076_07:04:50                  0               1           69400          161920              82               1
076_07:08:40                  0               1           69400          161920             102               1
076_07:09:10                  0               1           69400          161920             102               1
076_07:09:20                  0               1          133340          161920             102               1
076_07:26:20                  0               1           69400          161920             102               1
076_07:26:50                  0               1           69400          161920              82               1
076_07:30:40                  0               1           40420          161920              82               1
076_07:31:30                  0               1           40420          161920             126               1
076_07:35:20                  0               1           15600          161920             126               1
076_07:37:10                  0               1           15600          161920             102               1
076_07:40:50                  0               1           15600          161920             182               1
076_07:43:00                  0               1           15600          161920             182               1
076_07:46:30                  0               1               0          161920             182               1
076_09:11:00                  0               1           15600          161920             182               1
076_09:13:40                  0               1           15600          161920             182               1
076_09:15:50                  0               1           15600          161920             102               1
076_09:19:40                  0               1           15600          161920             126               1
076_09:21:40                  0               1           40420          161920             126               1
076_09:25:40                  0               1           40420          161920              82               1
076_09:26:30                  0               1           69400          161920              82               1
076_09:30:30                  0               1           69400          161920             102               1
076_09:30:50                  0               1           69400          161920             102               1
076_09:31:00                  0               1          133340          161920             102               1
076_09:48:00                  0               1           69400          161920             102               1
076_09:48:40                  0               1           69400          161920              82               1
076_09:52:20                  0               1           40420          161920              82               1
076_09:53:20                  0               1           40420          161920             126               1
076_09:57:00                  0               1           15600          161920             126               1
076_10:04:40                  0               1           15600          161920             126               1
076_10:08:10                  0               1               0          161920             126               1
076_11:32:40                  0               1           15600          161920             126               1
076_11:35:20                  0               1           15600          161920             126               1
076_11:41:30                  0               1           15600          161920             126               1
076_11:43:30                  0               1           40420          161920             126               1
076_11:47:20                  0               1           40420          161920              82               1
076_11:48:10                  0               1           69400          161920              82               1
076_11:52:10                  0               1           69400          161920             102               1
076_11:52:40                  0               1           69400          161920             102               1
076_11:52:50                  0               1          133340          161920             102               1
076_12:09:40                  0               1           69400          161920             102               1
076_12:10:20                  0               1           69400          161920              82               1
076_12:14:10                  0               1           40420          161920              82               1
076_12:15:00                  0               1           40420          161920             126               1
076_12:18:40                  0               1           15600          161920             126               1
076_12:20:40                  0               1           15600          161920             102               1
076_12:24:20                  0               1           15600          161920             182               1
076_12:26:30                  0               1           15600          161920             182               1
076_12:30:00                  0               1               0          161920             182               1
076_13:54:30                  0               1           15600          161920             182               1
076_13:57:10                  0               1           15600          161920             182               1
076_13:59:20                  0               1           15600          161920             102               1
076_14:03:10                  0               1           15600          161920             126               1
076_14:05:10                  0               1           40420          161920             126               1
076_14:09:00                  0               1           40420          161920              82               1
076_14:10:00                  0               1           69400          161920              82               1
076_14:13:50                  0               1           69400          161920             102               1
076_14:14:20                  0               1           69400          161920             102               1
076_14:14:30                  0               1          133340          161920             102               1
076_14:31:30                  0               1           69400          161920             102               1
076_14:32:00                  0               1           69400          161920              82               1
076_14:35:50                  0               1           40420          161920              82               1
076_14:36:50                  0               1           40420          161920             126               1
076_14:40:30                  0               1           15600          161920             126               1
076_14:48:10                  0               1           15600          161920             126               1
076_14:51:40                  0               1               0          161920             126               1
076_16:16:10                  0               1           15600          161920             126               1
076_16:18:50                  0               1           15600          161920             126               1
076_16:24:50                  0               1           15600          161920             126               1
076_16:27:00                  0               1           40420          161920             126               1
076_16:30:50                  0               1           40420          161920              82               1
076_16:31:40                  0               1           69400          161920              82               1
076_16:35:40                  0               1           69400          161920             102               1
076_16:36:00                  0               1           69400          161920             102               1
076_16:36:10                  0               1          133340          161920             102               1
076_16:53:10                  0               1           69400          161920             102               1
076_16:53:50                  0               1           69400          161920              82               1
076_16:57:40                  0               1           40420          161920              82               1
076_16:58:30                  0               1           40420          161920             126               1
076_17:02:10                  0               1           15600          161920             126               1
076_17:04:10                  0               1           15600          161920             102               1
076_17:07:50                  0               1           15600          161920             182               1
076_17:09:50                  0               1           15600          161920             182               1
076_17:13:20                  0               1               0          161920             182               1
076_18:38:00                  0               1           15600          161920             182               1
076_18:40:40                  0               1           15600          161920             182               1
076_18:42:50                  0               1           15600          161920             102               1
076_18:46:40                  0               1           15600          161920             126               1
076_18:48:40                  0               1           40420          161920             126               1
076_18:52:30                  0               1           40420          161920              82               1
076_18:53:30                  0               1           69400          161920              82               1
076_18:57:20                  0               1           69400          161920             102               1
076_18:57:50                  0               1           69400          161920             102               1
076_18:58:00                  0               1          133340          161920             102               1
076_19:15:00                  0               1           69400          161920             102               1
076_19:15:30                  0               1           69400          161920              82               1
076_19:19:20                  0               1           40420          161920              82               1
076_19:20:10                  0               1           40420          161920             126               1
076_19:24:00                  0               1           15600          161920             126               1
076_19:31:40                  0               1           15600          161920             126               1
076_19:35:10                  0               1               0          161920             126               1
076_20:59:40                  0               1           15600          161920             126               1
076_21:02:20                  0               1           15600          161920             126               1
076_21:08:20                  0               1           15600          161920             126               1
076_21:10:20                  0               1           40420          161920             126               1
076_21:14:10                  0               1           40420          161920              82               1
076_21:15:10                  0               1           69400          161920              82               1
076_21:19:10                  0               1           69400          161920             102               1
076_21:19:30                  0               1           69400          161920             102               1
076_21:19:40                  0               1          133340          161920             102               1
076_21:36:40                  0               1           69400          161920             102               1
076_21:37:10                  0               1           69400          161920              82               1
076_21:41:00                  0               1           40420          161920              82               1
076_21:42:00                  0               1           40420          161920             126               1
076_21:45:40                  0               1           15600          161920             126               1
076_21:47:30                  0               1           15600          161920             102               1
076_21:51:20                  0               1           15600          161920             182               1
076_21:53:20                  0               1           15600          161920             182               1
076_21:56:50                  0               1               0          161920             182               1
076_23:21:20                  0               1           15600          161920             182               1
076_23:24:00                  0               1           15600          161920             182               1
076_23:26:20                  0               1           15600          161920             102               1
076_23:30:10                  0               1           15600          161920             126               1
076_23:32:10                  0               1           40420          161920             126               1
076_23:36:00                  0               1           40420          161920              82               1
076_23:36:50                  0               1           69400          161920              82               1
076_23:40:50                  0               1           69400          161920             102               1
076_23:41:10                  0               1           69400          161920             102               1
076_23:41:20                  0               1          133340          161920             102               1
076_23:58:20                  0               1           69400          161920             102               1
076_23:59:00                  0               1           69400          161920              82               1
077_00:02:50                  0               1           40420          161920              82               1
077_00:03:40                  0               1           40420          161920             126               1
077_00:07:20                  0               1           15600          161920             126               1
077_00:15:00                  0               1           15600          161920             126               1
077_00:18:40                  0               1               0          161920             126               1
077_01:43:10                  0               1           15600          161920             126               1
077_01:45:50                  0               1           15600          161920             126               1
077_01:51:50                  0               1           15600          161920             126               1
077_01:53:50                  0               1           40420          161920             126               1
077_01:57:40                  0               1           40420          161920              82               1
077_01:58:40                  0               1           69400          161920              82               1
077_02:02:30                  0               1           69400          161920             102               1
077_02:03:00                  0               1           69400          161920             102               1
077_02:03:10                  0               1          133340          161920             102               1
077_02:20:10                  0               1           69400          161920             102               1
077_02:20:40                  0               1           69400          161920              82               1
077_02:24:30                  0               1           40420          161920              82               1
077_02:25:20                  0               1           40420          161920             126               1
077_02:29:10                  0               1           15600          161920             126               1
077_02:31:00                  0               1           15600          161920             102               1
077_02:34:40                  0               1           15600          161920             182               1
077_02:36:50                  0               1           15600          161920             182               1
077_02:40:20                  0               1               0          161920             182               1
077_04:04:50                  0               1           15600          161920             182               1
077_04:07:30                  0               1           15600          161920             182               1
077_04:09:40                  0               1           15600          161920             102               1
077_04:13:30                  0               1           15600          161920             126               1
077_04:15:40                  0               1           40420          161920             126               1
077_04:19:30                  0               1           40420          161920              82               1
077_04:20:20                  0               1           69400          161920              82               1
077_04:24:20                  0               1           69400          161920             102               1
077_04:24:40                  0               1           69400          161920             102               1
077_04:24:50                  0               1          133340          161920             102               1
077_04:41:50                  0               1           69400          161920             102               1
077_04:42:30                  0               1           69400          161920              82               1
077_04:46:10                  0               1           40420          161920              82               1
077_04:47:10                  0               1           40420          161920             126               1
077_04:50:50                  0               1           15600          161920             126               1
077_04:58:30                  0               1           15600          161920             126               1
077_05:02:00                  0               1               0          161920             126               1
077_06:26:40                  0               1           15600          161920             126               1
077_06:29:20                  0               1           15600          161920             126               1
077_06:35:20                  0               1           15600          161920             126               1
077_06:37:20                  0               1           40420          161920             126               1
077_06:41:10                  0               1           40420          161920              82               1
077_06:42:10                  0               1           69400          161920              82               1
077_06:46:00                  0               1           69400          161920             102               1
077_06:46:30                  0               1           69400          161920             102               1
077_06:46:40                  0               1          133340          161920             102               1
077_07:03:40                  0               1           69400          161920             102               1
077_07:04:10                  0               1           69400          161920              82               1
077_07:08:00                  0               1           40420          161920              82               1
077_07:08:50                  0               1           40420          161920             126               1
077_07:12:30                  0               1           15600          161920             126               1
077_07:14:30                  0               1           15600          161920             102               1
077_07:18:10                  0               1           15600          161920             182               1
077_07:20:20                  0               1           15600          161920             182               1
077_07:23:50                  0               1               0          161920             182               1
077_08:48:20                  0               1           15600          161920             182               1
077_08:51:00                  0               1           15600          161920             182               1
077_08:53:10                  0               1           15600          161920             102               1
077_08:57:00                  0               1           15600          161920             126               1
077_08:59:00                  0               1           40420          161920             126               1
077_09:02:50                  0               1           40420          161920              82               1
077_09:03:50                  0               1           69400          161920              82               1
077_09:07:50                  0               1           69400          161920             102               1
077_09:08:10                  0               1           69400          161920             102               1
077_09:08:20                  0               1          133340          161920             102               1
077_09:25:20                  0               1           69400          161920             102               1
077_09:25:50                  0               1           69400          161920              82               1
077_09:29:40                  0               1           40420          161920              82               1
077_09:30:40                  0               1           40420          161920             126               1
077_09:34:20                  0               1           15600          161920             126               1
077_09:42:00                  0               1           15600          161920             126               1
077_09:45:30                  0               1               0          161920             126               1
077_11:10:00                  0               1           15600          161920             126               1
077_11:12:40                  0               1           15600          161920             126               1
077_11:18:50                  0               1           15600          161920             126               1
077_11:20:50                  0               1           40420          161920             126               1
077_11:24:40                  0               1           40420          161920              82               1
077_11:25:30                  0               1           69400          161920              82               1
077_11:29:30                  0               1           69400          161920             102               1
077_11:29:50                  0               1           69400          161920             102               1
077_11:30:00                  0               1          133340          161920             102               1
077_11:47:00                  0               1           69400          161920             102               1
077_11:47:40                  0               1           69400          161920              82               1
077_11:51:30                  0               1           40420          161920              82               1
077_11:52:20                  0               1           40420          161920             126               1
077_11:56:00                  0               1           15600          161920             126               1
077_11:58:00                  0               1           15600          161920             102               1
077_12:01:40                  0               1           15600          161920             182               1
077_12:03:40                  0               1           15600          161920             182               1
077_12:07:20                  0               1               0          161920             182               1
077_13:31:50                  0               1           15600          161920             182               1
077_13:34:30                  0               1           15600          161920             182               1
077_13:36:40                  0               1           15600          161920             102               1
077_13:40:30                  0               1           15600          161920             126               1
077_13:42:30                  0               1           40420          161920             126               1
077_13:46:20                  0               1           40420          161920              82               1
077_13:47:20                  0               1           69400          161920              82               1
077_13:51:10                  0               1           69400          161920             102               1
077_13:51:40                  0               1           69400          161920             102               1
077_13:51:50                  0               1          133340          161920             102               1
077_14:08:50                  0               1           69400          161920             102               1
077_14:09:20                  0               1           69400          161920              82               1
077_14:13:10                  0               1           40420          161920              82               1
077_14:14:00                  0               1           40420          161920             126               1
077_14:17:50                  0               1           15600          161920             126               1
077_14:25:30                  0               1           15600          161920             126               1
077_14:29:00                  0               1               0          161920             126               1
077_15:53:30                  0               1           15600          161920             126               1
077_15:56:10                  0               1           15600          161920             126               1
077_16:02:10                  0               1           15600          161920             126               1
077_16:04:10                  0               1           40420          161920             126               1
077_16:08:10                  0               1           40420          161920              82               1
077_16:09:00                  0               1           69400          161920              82               1
077_16:13:00                  0               1           69400          161920             102               1
077_16:13:20                  0               1           69400          161920             102               1
077_16:13:30                  0               1          133340          161920             102               1
077_16:30:30                  0               1           69400          161920             102               1
077_16:31:10                  0               1           69400          161920              82               1
077_16:34:50                  0               1           40420          161920              82               1
077_16:35:50                  0               1           40420          161920             126               1
077_16:39:30                  0               1           15600          161920             126               1
077_16:41:30                  0               1           15600          161920             102               1
077_16:45:10                  0               1           15600          161920             182               1
077_16:47:10                  0               1           15600          161920             182               1
077_16:50:40                  0               1               0          161920             182               1
077_18:15:20                  0               1           15600          161920             182               1
077_18:18:00                  0               1           15600          161920             182               1
077_18:20:10                  0               1           15600          161920             102               1
077_18:24:00                  0               1           15600          161920             126               1
077_18:26:00                  0               1           40420          161920             126               1
077_18:29:50                  0               1           40420          161920              82               1
077_18:30:50                  0               1           69400          161920              82               1
077_18:34:40                  0               1           69400          161920             102               1
077_18:35:00                  0               1           69400          161920             102               1
077_18:35:20                  0               1          133340          161920             102               1
077_18:52:10                  0               1           69400          161920             102               1
077_18:52:50                  0               1           69400          161920              82               1
077_18:56:40                  0               1           40420          161920              82               1
077_18:57:30                  0               1           40420          161920             126               1
077_19:01:10                  0               1           15600          161920             126               1
077_19:09:00                  0               1           15600          161920             126               1
077_19:12:30                  0               1               0          161920             126               1
077_20:37:00                  0               1           15600          161920             126               1
077_20:39:40                  0               1           15600          161920             126               1
077_20:45:40                  0               1           15600          161920             126               1
077_20:47:40                  0               1           40420          161920             126               1
077_20:51:30                  0               1           40420          161920              82               1
077_20:52:30                  0               1           69400          161920              82               1
077_20:56:20                  0               1           69400          161920             102               1
077_20:56:50                  0               1           69400          161920             102               1
077_20:57:00                  0               1          133340          161920             102               1
077_21:14:00                  0               1           69400          161920             102               1
077_21:14:30                  0               1           69400          161920              82               1
077_21:18:20                  0               1           40420          161920              82               1
077_21:19:20                  0               1           40420          161920             126               1
077_21:23:00                  0               1           15600          161920             126               1
077_21:24:50                  0               1           15600          161920             102               1
077_21:28:30                  0               1           15600          161920             182               1
077_21:30:40                  0               1           15600          161920             182               1
077_21:34:10                  0               1               0          161920             182               1
077_22:58:40                  0               1           15600          161920             182               1
077_23:01:20                  0               1           15600          161920             182               1
077_23:03:40                  0               1           15600          161920             102               1
077_23:07:30                  0               1           15600          161920             126               1
077_23:09:30                  0               1           40420          161920             126               1
077_23:13:20                  0               1           40420          161920              82               1
077_23:14:10                  0               1           69400          161920              82               1
077_23:18:10                  0               1           69400          161920             102               1
077_23:18:30                  0               1           69400          161920             102               1
077_23:18:40                  0               1          133340          161920             102               1
077_23:35:40                  0               1           69400          161920             102               1
077_23:36:20                  0               1           69400          161920              82               1
077_23:40:10                  0               1           40420          161920              82               1
077_23:41:00                  0               1           40420          161920             126               1
077_23:44:40                  0               1           15600          161920             126               1
077_23:52:20                  0               1           15600          161920             126               1
077_23:56:00                  0               1               0          161920             126               1
078_01:20:30                  0               1           15600          161920             126               1
078_01:23:10                  0               1           15600          161920             126               1
078_01:29:10                  0               1           15600          161920             126               1
078_01:31:10                  0               1           40420          161920             126               1
078_01:35:00                  0               1           40420          161920              82               1
078_01:36:00                  0               1           69400          161920              82               1
078_01:39:50                  0               1           69400          161920             102               1
078_01:40:10                  0               1           69400          161920             102               1
078_01:40:30                  0               1          133340          161920             102               1
078_01:57:30                  0               1           69400          161920             102               1
078_01:58:00                  0               1           69400          161920              82               1
078_02:01:50                  0               1           40420          161920              82               1
078_02:02:40                  0               1           40420          161920             126               1
078_02:06:30                  0               1           15600          161920             126               1
078_02:08:20                  0               1           15600          161920             102               1
078_02:12:00                  0               1           15600          161920             182               1
078_02:14:10                  0               1           15600          161920             182               1
078_02:17:40                  0               1               0          161920             182               1
078_03:42:10                  0               1           15600          161920             182               1
078_03:44:50                  0               1           15600          161920             182               1
078_03:47:00                  0               1           15600          161920             102               1
078_03:50:50                  0               1           15600          161920             126               1
078_03:52:50                  0               1           40420          161920             126               1
078_03:56:50                  0               1           40420          161920              82               1
078_03:57:40                  0               1           69400          161920              82               1
078_04:01:40                  0               1           69400          161920             102               1
078_04:02:00                  0               1           69400          161920             102               1
078_04:02:10                  0               1          133340          161920             102               1
078_04:19:10                  0               1           69400          161920             102               1
