#
# Output Filename: power_avg.out
# Generation Time: 25-November-2013_15:18:01 (UTC)
# File Contents:   Average Power Values
#
# EPS Version:     v2.5.8
#
# CFG Template:    v3.19
# EDF Template:    v3.12
# ITL Template:    v3.10
# EVF Template:    v3.1
#
# POR Definition:  CRID issue C4
# EVF (ESOC FD):   DDID appendix-H v2.1
#
# Input Timeline:  BC_SO10_FULL_________ITL_GEN_1A.itl
# Input CFG:       eps_mac.cfg
# Input EDF:       bepi.edf
# MDB version:     SISBCETB "ETB (1, 0, 38)"
# Input EVF:       bepi_events_mpo_00012.evf
#

Ref_date: 7-May-2024

Elapsed time        Total         ANTENNA            SSMM            BELA             ISA          MERMAG          MERTIS            MGNS            MORE          PHEBUS          SERENA   SIMBIOSYS_STC  SIMBIOSYS_HRIC  SIMBIOSYS_VIHI       MIXS_SIXS
ddd_hh:mm:ss      (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
038_00:00:00      223.850          97.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000           0.000          37.200           0.000           0.000           0.000          14.000
039_00:00:00      218.800          97.000           0.000          43.900          12.870           5.630           9.000           5.000           0.000           0.000          34.300           0.000           0.000           0.000          11.100
040_00:00:00      242.050          97.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000          24.000          34.300           0.000           0.000           0.000          11.100
041_00:00:00      250.620          97.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          33.400           0.000           0.000           0.000          14.000
042_00:00:00      226.620          97.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          14.000
043_00:00:00      250.620          97.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          33.400           0.000           0.000           0.000          14.000
044_00:00:00      167.650           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
045_00:00:00      157.300           0.000           0.000          43.900          12.870           5.630           9.000           5.000           0.000          25.000          37.200           0.000           0.000           0.000          18.700
046_00:00:00      194.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000          39.000          24.000          37.200           0.000           0.000           0.000          18.700
047_00:00:00      150.420           0.000           0.000          22.770          12.870           4.880          12.900           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
048_00:00:00      141.120           0.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
049_00:00:00      141.120           0.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
050_00:00:00      141.120           0.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
051_00:00:00      131.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000           0.000          37.200           0.000           0.000           0.000          18.700
052_00:00:00      193.050           0.000           0.000          43.900          12.870           4.880           9.000           5.000          39.000          22.500          37.200           0.000           0.000           0.000          18.700
053_00:00:00      171.550           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
054_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
055_00:00:00      158.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          33.400           0.000           0.000           0.000          18.700
056_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
057_00:00:00      168.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           0.000           0.000           0.000          21.600
058_00:00:00      170.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000          39.000           0.000          34.300           0.000           0.000           0.000          21.600
059_00:00:00      169.920           0.000           0.000          22.770          12.870           4.880           9.000           5.000          37.000          22.500          34.300           0.000           0.000           0.000          21.600
060_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
061_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
062_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
063_00:00:00      168.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           0.000           0.000           0.000          21.600
064_00:00:00      176.920           0.000           0.000          43.900          12.870           4.880           9.000           5.000          39.000           0.000          37.200           0.000           3.470           0.000          21.600
065_00:00:00      171.450           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          21.600
066_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
067_00:00:00      158.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          33.400           0.000           0.000           0.000          18.700
068_00:00:00      161.030           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          33.400           0.000           0.000           2.710          18.700
069_00:00:00      177.620           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           3.460           0.000           2.710          21.600
070_00:00:00      196.210           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          37.200           6.180           3.470          11.210          21.600
071_00:00:00      185.940           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           6.180           0.000          11.210          21.600
072_00:00:00      147.420           0.000           0.000          22.770          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          18.700
073_00:00:00      163.870           0.000           0.000          13.470          12.870           5.630           9.000           5.000          37.000          25.000          37.200           0.000           0.000           0.000          18.700
074_00:00:00      164.080           0.000           0.000          13.470          12.870           5.630           9.000           5.000          37.000          22.500          37.200           0.000           0.000           2.710          18.700
075_00:00:00      167.540           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          37.200           2.710           0.000           2.710          18.700
076_00:00:00      213.840           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000          24.000          34.300           6.180           0.000          11.210          21.600
077_00:00:00      196.210           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          37.200           6.180           3.470          11.210          21.600
078_00:00:00      171.450           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          21.600
079_00:00:00      161.370           0.000           0.000          13.470          12.870           5.630           9.000           5.000          37.000          22.500          37.200           0.000           0.000           0.000          18.700
080_00:00:00      141.580           0.000           0.000          13.470          12.870           5.630           9.000           5.000          37.000           0.000          37.200           0.000           0.000           2.710          18.700
081_00:00:00      140.830           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           2.710          18.700
082_00:00:00      212.340           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000          22.500          34.300           6.180           0.000          11.210          21.600
083_00:00:00      196.210           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          37.200           6.180           3.470          11.210          21.600
084_00:00:00      192.740           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          37.200           6.180           0.000          11.210          21.600
085_00:00:00      138.120           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          18.700
